id,Response
342999,0
343000,0
343001,0
343002,0
343003,1
343004,1
343005,1
343006,1
343007,1
343008,0
343009,0
343010,0
343011,1
343012,0
343013,1
343014,0
343015,1
343016,1
343017,0
343018,0
343019,1
343020,1
343021,0
343022,1
343023,1
343024,0
343025,0
343026,0
343027,1
343028,1
343029,0
343030,1
343031,1
343032,1
343033,1
343034,1
343035,1
343036,0
343037,1
343038,1
343039,0
343040,0
343041,1
343042,0
343043,0
343044,1
343045,1
343046,1
343047,1
343048,1
343049,0
343050,0
343051,0
343052,1
343053,1
343054,0
343055,1
343056,1
343057,0
343058,1
343059,1
343060,1
343061,1
343062,0
343063,0
343064,0
343065,0
343066,1
343067,1
343068,1
343069,0
343070,1
343071,0
343072,1
343073,1
343074,0
343075,0
343076,1
343077,1
343078,1
343079,1
343080,0
343081,1
343082,0
343083,1
343084,0
343085,0
343086,1
343087,0
343088,0
343089,1
343090,0
343091,0
343092,0
343093,1
343094,0
343095,1
343096,0
343097,1
343098,1
343099,1
343100,0
343101,0
343102,1
343103,1
343104,0
343105,1
343106,0
343107,0
343108,1
343109,1
343110,0
343111,0
343112,1
343113,0
343114,1
343115,1
343116,1
343117,1
343118,0
343119,1
343120,0
343121,1
343122,0
343123,0
343124,1
343125,0
343126,1
343127,0
343128,0
343129,0
343130,1
343131,1
343132,0
343133,0
343134,1
343135,0
343136,1
343137,1
343138,0
343139,1
343140,1
343141,1
343142,1
343143,1
343144,1
343145,1
343146,1
343147,0
343148,1
343149,0
343150,1
343151,0
343152,1
343153,1
343154,0
343155,0
343156,0
343157,0
343158,1
343159,0
343160,0
343161,0
343162,1
343163,1
343164,1
343165,1
343166,1
343167,1
343168,1
343169,0
343170,0
343171,1
343172,1
343173,0
343174,1
343175,1
343176,0
343177,1
343178,0
343179,1
343180,1
343181,1
343182,1
343183,1
343184,0
343185,1
343186,1
343187,0
343188,1
343189,0
343190,1
343191,1
343192,0
343193,1
343194,1
343195,1
343196,1
343197,0
343198,1
343199,1
343200,1
343201,0
343202,0
343203,1
343204,0
343205,0
343206,0
343207,1
343208,1
343209,1
343210,0
343211,0
343212,0
343213,0
343214,0
343215,1
343216,0
343217,0
343218,0
343219,0
343220,0
343221,1
343222,1
343223,1
343224,1
343225,1
343226,1
343227,1
343228,0
343229,1
343230,0
343231,0
343232,1
343233,1
343234,0
343235,0
343236,0
343237,0
343238,1
343239,1
343240,0
343241,0
343242,1
343243,1
343244,1
343245,1
343246,1
343247,0
343248,0
343249,0
343250,0
343251,1
343252,0
343253,1
343254,1
343255,1
343256,0
343257,1
343258,0
343259,0
343260,0
343261,1
343262,0
343263,1
343264,1
343265,1
343266,0
343267,0
343268,0
343269,1
343270,1
343271,0
343272,1
343273,1
343274,1
343275,1
343276,0
343277,1
343278,1
343279,0
343280,1
343281,1
343282,1
343283,1
343284,1
343285,0
343286,1
343287,0
343288,1
343289,0
343290,1
343291,0
343292,1
343293,1
343294,1
343295,1
343296,1
343297,1
343298,1
343299,0
343300,0
343301,1
343302,0
343303,1
343304,0
343305,1
343306,0
343307,1
343308,1
343309,1
343310,0
343311,1
343312,0
343313,0
343314,0
343315,0
343316,1
343317,0
343318,1
343319,1
343320,1
343321,1
343322,1
343323,1
343324,0
343325,0
343326,0
343327,0
343328,1
343329,1
343330,1
343331,0
343332,1
343333,0
343334,0
343335,1
343336,0
343337,1
343338,0
343339,0
343340,1
343341,0
343342,0
343343,1
343344,0
343345,1
343346,1
343347,0
343348,1
343349,0
343350,1
343351,0
343352,1
343353,0
343354,0
343355,1
343356,0
343357,0
343358,0
343359,1
343360,0
343361,1
343362,1
343363,0
343364,1
343365,0
343366,1
343367,1
343368,0
343369,1
343370,0
343371,1
343372,0
343373,1
343374,1
343375,1
343376,0
343377,1
343378,1
343379,0
343380,0
343381,0
343382,1
343383,1
343384,1
343385,1
343386,0
343387,0
343388,0
343389,1
343390,0
343391,0
343392,0
343393,1
343394,1
343395,1
343396,1
343397,0
343398,0
343399,0
343400,0
343401,0
343402,1
343403,1
343404,0
343405,1
343406,0
343407,0
343408,1
343409,1
343410,1
343411,1
343412,0
343413,0
343414,1
343415,0
343416,0
343417,0
343418,1
343419,0
343420,0
343421,1
343422,1
343423,0
343424,1
343425,1
343426,0
343427,1
343428,0
343429,0
343430,1
343431,0
343432,0
343433,0
343434,1
343435,0
343436,0
343437,0
343438,1
343439,0
343440,1
343441,1
343442,1
343443,0
343444,0
343445,0
343446,1
343447,0
343448,0
343449,1
343450,0
343451,0
343452,1
343453,1
343454,1
343455,1
343456,1
343457,0
343458,0
343459,0
343460,0
343461,1
343462,1
343463,0
343464,1
343465,0
343466,1
343467,0
343468,0
343469,0
343470,1
343471,0
343472,0
343473,1
343474,0
343475,1
343476,1
343477,0
343478,1
343479,0
343480,1
343481,1
343482,0
343483,0
343484,0
343485,1
343486,1
343487,0
343488,0
343489,1
343490,0
343491,1
343492,0
343493,0
343494,0
343495,0
343496,1
343497,0
343498,0
343499,1
343500,0
343501,0
343502,0
343503,0
343504,1
343505,0
343506,0
343507,1
343508,1
343509,0
343510,1
343511,0
343512,0
343513,0
343514,0
343515,0
343516,0
343517,1
343518,1
343519,0
343520,1
343521,1
343522,1
343523,1
343524,0
343525,0
343526,0
343527,0
343528,0
343529,1
343530,1
343531,1
343532,0
343533,0
343534,0
343535,1
343536,0
343537,1
343538,1
343539,0
343540,1
343541,1
343542,1
343543,0
343544,1
343545,0
343546,1
343547,0
343548,0
343549,0
343550,1
343551,0
343552,1
343553,1
343554,0
343555,1
343556,1
343557,0
343558,0
343559,0
343560,0
343561,0
343562,0
343563,0
343564,1
343565,1
343566,0
343567,0
343568,1
343569,1
343570,1
343571,0
343572,0
343573,1
343574,1
343575,1
343576,1
343577,1
343578,0
343579,1
343580,1
343581,0
343582,1
343583,0
343584,1
343585,1
343586,1
343587,0
343588,0
343589,0
343590,1
343591,0
343592,0
343593,1
343594,1
343595,0
343596,0
343597,1
343598,0
343599,1
343600,1
343601,1
343602,1
343603,0
343604,1
343605,1
343606,0
343607,0
343608,1
343609,0
343610,1
343611,1
343612,0
343613,1
343614,1
343615,1
343616,0
343617,1
343618,0
343619,0
343620,0
343621,1
343622,0
343623,0
343624,0
343625,1
343626,1
343627,1
343628,1
343629,0
343630,0
343631,1
343632,1
343633,0
343634,1
343635,0
343636,1
343637,0
343638,1
343639,0
343640,1
343641,1
343642,0
343643,1
343644,1
343645,1
343646,1
343647,1
343648,1
343649,0
343650,1
343651,0
343652,0
343653,1
343654,1
343655,1
343656,1
343657,0
343658,0
343659,0
343660,1
343661,0
343662,1
343663,1
343664,0
343665,0
343666,0
343667,0
343668,0
343669,0
343670,0
343671,0
343672,0
343673,0
343674,0
343675,0
343676,0
343677,1
343678,0
343679,1
343680,0
343681,0
343682,0
343683,0
343684,0
343685,0
343686,1
343687,0
343688,1
343689,0
343690,1
343691,1
343692,1
343693,1
343694,1
343695,0
343696,1
343697,1
343698,1
343699,1
343700,1
343701,0
343702,0
343703,0
343704,1
343705,0
343706,1
343707,0
343708,1
343709,1
343710,0
343711,1
343712,0
343713,0
343714,0
343715,0
343716,1
343717,0
343718,1
343719,1
343720,1
343721,0
343722,1
343723,1
343724,0
343725,0
343726,0
343727,0
343728,0
343729,0
343730,0
343731,1
343732,0
343733,1
343734,1
343735,0
343736,0
343737,0
343738,1
343739,1
343740,1
343741,1
343742,1
343743,1
343744,0
343745,0
343746,0
343747,0
343748,1
343749,1
343750,1
343751,1
343752,0
343753,0
343754,0
343755,1
343756,1
343757,0
343758,0
343759,0
343760,0
343761,1
343762,0
343763,1
343764,0
343765,1
343766,0
343767,0
343768,0
343769,1
343770,1
343771,0
343772,0
343773,1
343774,1
343775,0
343776,0
343777,0
343778,0
343779,0
343780,0
343781,1
343782,0
343783,0
343784,1
343785,0
343786,0
343787,0
343788,0
343789,1
343790,1
343791,1
343792,1
343793,0
343794,0
343795,0
343796,0
343797,1
343798,0
343799,0
343800,1
343801,0
343802,1
343803,0
343804,0
343805,0
343806,1
343807,0
343808,1
343809,1
343810,1
343811,1
343812,0
343813,1
343814,0
343815,1
343816,1
343817,1
343818,1
343819,1
343820,1
343821,0
343822,1
343823,1
343824,0
343825,0
343826,0
343827,1
343828,1
343829,1
343830,0
343831,0
343832,0
343833,0
343834,1
343835,1
343836,1
343837,1
343838,0
343839,0
343840,0
343841,0
343842,0
343843,1
343844,1
343845,0
343846,0
343847,0
343848,0
343849,0
343850,0
343851,0
343852,0
343853,1
343854,1
343855,0
343856,1
343857,0
343858,1
343859,0
343860,0
343861,1
343862,1
343863,1
343864,0
343865,0
343866,1
343867,1
343868,1
343869,1
343870,1
343871,1
343872,1
343873,0
343874,1
343875,0
343876,0
343877,1
343878,0
343879,0
343880,1
343881,0
343882,0
343883,1
343884,0
343885,1
343886,1
343887,1
343888,0
343889,0
343890,1
343891,0
343892,1
343893,1
343894,0
343895,1
343896,1
343897,1
343898,0
343899,0
343900,1
343901,0
343902,0
343903,1
343904,0
343905,1
343906,1
343907,0
343908,1
343909,0
343910,0
343911,1
343912,0
343913,0
343914,1
343915,1
343916,1
343917,0
343918,0
343919,1
343920,0
343921,0
343922,0
343923,0
343924,1
343925,1
343926,0
343927,0
343928,1
343929,1
343930,1
343931,1
343932,1
343933,0
343934,0
343935,1
343936,1
343937,1
343938,0
343939,1
343940,1
343941,1
343942,1
343943,0
343944,1
343945,1
343946,1
343947,0
343948,0
343949,0
343950,0
343951,0
343952,1
343953,0
343954,0
343955,0
343956,1
343957,0
343958,1
343959,1
343960,1
343961,0
343962,1
343963,1
343964,1
343965,1
343966,0
343967,1
343968,1
343969,1
343970,1
343971,1
343972,1
343973,1
343974,1
343975,0
343976,1
343977,0
343978,0
343979,1
343980,0
343981,1
343982,1
343983,1
343984,0
343985,1
343986,0
343987,1
343988,1
343989,1
343990,0
343991,1
343992,1
343993,0
343994,1
343995,1
343996,0
343997,1
343998,0
343999,1
344000,1
344001,0
344002,1
344003,1
344004,1
344005,1
344006,0
344007,0
344008,1
344009,1
344010,1
344011,0
344012,1
344013,0
344014,0
344015,1
344016,1
344017,1
344018,0
344019,1
344020,1
344021,1
344022,0
344023,1
344024,0
344025,1
344026,0
344027,0
344028,1
344029,0
344030,0
344031,1
344032,1
344033,1
344034,1
344035,1
344036,1
344037,1
344038,0
344039,0
344040,0
344041,0
344042,1
344043,0
344044,1
344045,1
344046,0
344047,0
344048,0
344049,0
344050,0
344051,0
344052,1
344053,1
344054,1
344055,1
344056,1
344057,1
344058,1
344059,1
344060,1
344061,1
344062,0
344063,1
344064,1
344065,1
344066,1
344067,1
344068,1
344069,1
344070,1
344071,1
344072,0
344073,1
344074,0
344075,1
344076,0
344077,0
344078,1
344079,1
344080,1
344081,1
344082,1
344083,0
344084,0
344085,1
344086,0
344087,0
344088,0
344089,1
344090,1
344091,1
344092,0
344093,0
344094,1
344095,1
344096,1
344097,0
344098,1
344099,1
344100,1
344101,1
344102,0
344103,1
344104,0
344105,0
344106,0
344107,0
344108,0
344109,0
344110,0
344111,1
344112,1
344113,1
344114,0
344115,1
344116,1
344117,1
344118,1
344119,1
344120,0
344121,1
344122,0
344123,1
344124,0
344125,0
344126,0
344127,0
344128,0
344129,0
344130,1
344131,1
344132,1
344133,0
344134,0
344135,1
344136,1
344137,0
344138,0
344139,0
344140,1
344141,1
344142,1
344143,0
344144,0
344145,1
344146,0
344147,0
344148,0
344149,0
344150,0
344151,0
344152,0
344153,1
344154,1
344155,1
344156,1
344157,1
344158,0
344159,0
344160,0
344161,1
344162,0
344163,0
344164,1
344165,1
344166,1
344167,1
344168,1
344169,0
344170,1
344171,0
344172,1
344173,0
344174,0
344175,0
344176,0
344177,1
344178,1
344179,1
344180,1
344181,0
344182,0
344183,0
344184,0
344185,1
344186,1
344187,1
344188,0
344189,0
344190,1
344191,0
344192,1
344193,1
344194,1
344195,1
344196,0
344197,1
344198,0
344199,0
344200,0
344201,0
344202,1
344203,1
344204,1
344205,0
344206,1
344207,1
344208,0
344209,0
344210,0
344211,0
344212,1
344213,1
344214,1
344215,1
344216,1
344217,0
344218,1
344219,0
344220,1
344221,1
344222,0
344223,0
344224,0
344225,1
344226,1
344227,1
344228,0
344229,1
344230,0
344231,1
344232,1
344233,0
344234,1
344235,1
344236,0
344237,1
344238,1
344239,1
344240,0
344241,1
344242,1
344243,1
344244,0
344245,0
344246,0
344247,0
344248,1
344249,1
344250,1
344251,0
344252,0
344253,0
344254,1
344255,0
344256,0
344257,1
344258,0
344259,1
344260,1
344261,1
344262,1
344263,0
344264,0
344265,1
344266,0
344267,1
344268,1
344269,0
344270,1
344271,0
344272,1
344273,0
344274,1
344275,0
344276,1
344277,0
344278,1
344279,1
344280,1
344281,1
344282,1
344283,1
344284,0
344285,0
344286,0
344287,1
344288,0
344289,0
344290,0
344291,0
344292,1
344293,1
344294,0
344295,0
344296,1
344297,1
344298,0
344299,1
344300,1
344301,1
344302,1
344303,0
344304,0
344305,1
344306,1
344307,1
344308,0
344309,1
344310,0
344311,0
344312,0
344313,0
344314,0
344315,0
344316,1
344317,0
344318,0
344319,0
344320,0
344321,1
344322,0
344323,0
344324,0
344325,0
344326,1
344327,1
344328,0
344329,0
344330,1
344331,1
344332,1
344333,0
344334,1
344335,1
344336,1
344337,1
344338,1
344339,1
344340,0
344341,1
344342,1
344343,1
344344,0
344345,0
344346,1
344347,1
344348,1
344349,1
344350,1
344351,0
344352,1
344353,0
344354,1
344355,0
344356,0
344357,0
344358,0
344359,0
344360,0
344361,0
344362,1
344363,1
344364,0
344365,0
344366,1
344367,1
344368,1
344369,1
344370,0
344371,1
344372,1
344373,1
344374,0
344375,0
344376,1
344377,1
344378,0
344379,0
344380,1
344381,0
344382,0
344383,1
344384,0
344385,1
344386,1
344387,1
344388,0
344389,1
344390,0
344391,1
344392,0
344393,1
344394,1
344395,0
344396,0
344397,0
344398,0
344399,0
344400,0
344401,1
344402,1
344403,0
344404,1
344405,0
344406,0
344407,0
344408,1
344409,1
344410,1
344411,1
344412,0
344413,1
344414,0
344415,0
344416,1
344417,0
344418,0
344419,0
344420,0
344421,0
344422,0
344423,1
344424,1
344425,0
344426,1
344427,0
344428,1
344429,1
344430,1
344431,1
344432,1
344433,1
344434,1
344435,0
344436,1
344437,0
344438,0
344439,1
344440,0
344441,1
344442,0
344443,1
344444,0
344445,0
344446,1
344447,0
344448,0
344449,1
344450,0
344451,1
344452,0
344453,0
344454,1
344455,1
344456,1
344457,0
344458,0
344459,1
344460,1
344461,1
344462,0
344463,0
344464,1
344465,0
344466,1
344467,0
344468,1
344469,1
344470,1
344471,0
344472,0
344473,1
344474,0
344475,1
344476,1
344477,1
344478,1
344479,1
344480,0
344481,1
344482,0
344483,1
344484,1
344485,0
344486,0
344487,0
344488,0
344489,1
344490,0
344491,1
344492,1
344493,1
344494,0
344495,0
344496,0
344497,1
344498,1
344499,1
344500,0
344501,1
344502,1
344503,1
344504,0
344505,0
344506,1
344507,0
344508,0
344509,0
344510,1
344511,1
344512,0
344513,1
344514,0
344515,0
344516,1
344517,0
344518,1
344519,1
344520,0
344521,0
344522,0
344523,1
344524,0
344525,1
344526,1
344527,1
344528,0
344529,1
344530,0
344531,0
344532,0
344533,0
344534,0
344535,1
344536,0
344537,0
344538,1
344539,1
344540,1
344541,0
344542,0
344543,1
344544,0
344545,1
344546,0
344547,1
344548,1
344549,1
344550,0
344551,0
344552,1
344553,1
344554,1
344555,0
344556,0
344557,1
344558,0
344559,1
344560,1
344561,1
344562,1
344563,1
344564,1
344565,0
344566,0
344567,0
344568,0
344569,0
344570,1
344571,0
344572,1
344573,1
344574,1
344575,1
344576,1
344577,0
344578,1
344579,1
344580,0
344581,1
344582,0
344583,1
344584,0
344585,1
344586,0
344587,1
344588,1
344589,0
344590,1
344591,0
344592,1
344593,1
344594,0
344595,0
344596,1
344597,1
344598,0
344599,0
344600,1
344601,1
344602,0
344603,0
344604,0
344605,1
344606,1
344607,1
344608,1
344609,1
344610,0
344611,1
344612,1
344613,0
344614,0
344615,0
